Localidade,CodigoIBGE,I2000,I2010
Presidente Sarney,2109270,0.328,0.557
Presidente Vargas,2109304,0.389,0.587
Primeira Cruz,2109403,0.378,0.512
Raposa,2109452,0.44,0.626
Riachão,2109502,0.38,0.576
Ribamar Fiquene,2109551,0.402,0.615
Rosário,2109601,0.484,0.632
Sambaíba,2109700,0.403,0.565
Santa Filomena do Maranhão,2109759,0.337,0.525
Santa Helena,2109809,0.398,0.571
Santa Inês,2109908,0.512,0.674
Santa Luzia,2110005,0.33,0.55
Santa Luzia do Paruá,2110039,0.395,0.599
Santa Quitéria do Maranhão,2110104,0.383,0.555
Santa Rita,2110203,0.446,0.609
Santana do Maranhão,2110237,0.267,0.51
Santo Amaro do Maranhão,2110278,0.336,0.518
Santo Antônio dos Lopes,2110302,0.379,0.566
São Benedito do Rio Preto,2110401,0.368,0.541
São Bento,2110500,0.449,0.602
São Bernardo,2110609,0.374,0.572
São Domingos do Azeitão,2110658,0.398,0.59
São Domingos do Maranhão,2110708,0.394,0.582
São Félix de Balsas,2110807,0.391,0.557
São Francisco do Brejão,2110856,0.424,0.584
São Francisco do Maranhão,2110906,0.349,0.528
São João Batista,2111003,0.433,0.598
São João do Carú,2111029,0.281,0.509
São João do Paraíso,2111052,0.421,0.609
São João do Soter,2111078,0.334,0.517
São João dos Patos,2111102,0.478,0.615
São José de Ribamar,2111201,0.572,0.708
São José dos Basílios,2111250,0.374,0.557
São Luís,2111300,0.658,0.768
São Luís Gonzaga do Maranhão,2111409,0.336,0.54
São Mateus do Maranhão,2111508,0.388,0.616
São Pedro da Água Branca,2111532,0.415,0.605
São Pedro dos Crentes,2111573,0.365,0.6
São Raimundo das Mangabeiras,2111607,0.451,0.61
São Raimundo do Doca Bezerra,2111631,0.34,0.516
São Roberto,2111672,0.285,0.516
São Vicente Ferrer,2111706,0.423,0.592
Satubinha,2111722,0.319,0.493
Senador Alexandre Costa,2111748,0.362,0.538
Senador La Rocque,2111763,0.392,0.602
Serrano do Maranhão,2111789,0.343,0.519
Sítio Novo,2111805,0.376,0.564
Sucupira do Norte,2111904,0.398,0.579
Sucupira do Riachão,2111953,0.378,0.568
Tasso Fragoso,2112001,0.445,0.599
Timbiras,2112100,0.344,0.537
Timon,2112209,0.479,0.649
Trizidela do Vale,2112233,0.434,0.606
Tufilândia,2112274,0.37,0.555
Tuntum,2112308,0.387,0.572
Turiaçu,2112407,0.329,0.561
Turilândia,2112456,0.322,0.536
Tutóia,2112506,0.343,0.561
Urbano Santos,2112605,0.379,0.588
Vargem Grande,2112704,0.363,0.542
Viana,2112803,0.457,0.618
Vila Nova dos Martírios,2112852,0.379,0.581
