Localidade,CodigoIBGE,I2000,I2010
Vitória do Mearim,2112902,0.438,0.596
Vitorino Freire,2113009,0.412,0.57
Zé Doca,2114007,0.421,0.595
Acauã,2200053,0.274,0.528
Agricolândia,2200103,0.447,0.599
Água Branca,2200202,0.506,0.639
Alagoinha do Piauí,2200251,0.368,0.531
Alegrete do Piauí,2200277,0.431,0.585
Alto Longá,2200301,0.367,0.585
Altos,2200400,0.424,0.614
Alvorada do Gurguéia,2200459,0.403,0.578
Amarante,2200509,0.46,0.598
Angical do Piauí,2200608,0.476,0.63
Anísio de Abreu,2200707,0.425,0.594
Antônio Almeida,2200806,0.478,0.62
Aroazes,2200905,0.416,0.583
Aroeiras do Itaim,2200954,0.208,0.519
Arraial,2201002,0.412,0.56
Assunção do Piauí,2201051,0.341,0.499
Avelino Lopes,2201101,0.367,0.554
Baixa Grande do Ribeiro,2201150,0.349,0.564
Barra d'Alcântara,2201176,0.376,0.577
Barras,2201200,0.417,0.595
Barreiras do Piauí,2201309,0.413,0.557
Barro Duro,2201408,0.481,0.612
Batalha,2201507,0.377,0.545
Bela Vista do Piauí,2201556,0.301,0.576
Belém do Piauí,2201572,0.324,0.551
Beneditinos,2201606,0.392,0.557
Bertolínia,2201705,0.441,0.612
Betânia do Piauí,2201739,0.257,0.489
Boa Hora,2201770,0.351,0.575
Bocaina,2201804,0.483,0.632
Bom Jesus,2201903,0.486,0.668
Bom Princípio do Piauí,2201919,0.345,0.532
Bonfim do Piauí,2201929,0.402,0.542
Boqueirão do Piauí,2201945,0.316,0.56
Brasileira,2201960,0.396,0.577
Brejo do Piauí,2201988,0.278,0.515
Buriti dos Lopes,2202000,0.382,0.565
Buriti dos Montes,2202026,0.368,0.574
Cabeceiras do Piauí,2202059,0.362,0.583
Cajazeiras do Piauí,2202075,0.333,0.562
Cajueiro da Praia,2202083,0.365,0.546
Caldeirão Grande do Piauí,2202091,0.333,0.588
Campinas do Piauí,2202109,0.371,0.544
Campo Alegre do Fidalgo,2202117,0.277,0.537
Campo Grande do Piauí,2202133,0.35,0.56
Campo Largo do Piauí,2202174,0.336,0.528
Campo Maior,2202208,0.5,0.656
Canavieira,2202251,0.388,0.583
Canto do Buriti,2202307,0.426,0.576
Capitão de Campos,2202406,0.396,0.583
Capitão Gervásio Oliveira,2202455,0.288,0.553
Caracol,2202505,0.385,0.552
Caraúbas do Piauí,2202539,0.272,0.505
Caridade do Piauí,2202554,0.349,0.541
Castelo do Piauí,2202604,0.399,0.587
Caxingó,2202653,0.267,0.488
Cocal,2202703,0.319,0.497
Cocal de Telha,2202711,0.384,0.555
Cocal dos Alves,2202729,0.264,0.498
Coivaras,2202737,0.37,0.565
Colônia do Gurguéia,2202752,0.445,0.628
Colônia do Piauí,2202778,0.335,0.588
Conceição do Canindé,2202802,0.39,0.589
Coronel José Dias,2202851,0.386,0.546
Corrente,2202901,0.474,0.642
Cristalândia do Piauí,2203008,0.416,0.573
Cristino Castro,2203107,0.46,0.566
Curimatá,2203206,0.489,0.607
Currais,2203230,0.339,0.542
Curralinhos,2203255,0.341,0.555
Curral Novo do Piauí,2203271,0.35,0.527
Demerval Lobão,2203305,0.455,0.618
Dirceu Arcoverde,2203354,0.407,0.561
Dom Expedito Lopes,2203404,0.466,0.601
Domingos Mourão,2203420,0.338,0.55
Dom Inocêncio,2203453,0.279,0.549
Elesbão Veloso,2203503,0.404,0.58
Eliseu Martins,2203602,0.449,0.595
Esperantina,2203701,0.42,0.605
Fartura do Piauí,2203750,0.37,0.548
Flores do Piauí,2203800,0.353,0.547
Floresta do Piauí,2203859,0.295,0.538
Floriano,2203909,0.558,0.7
Francinópolis,2204006,0.393,0.564
Francisco Ayres,2204105,0.391,0.577
Francisco Macedo,2204154,0.356,0.553
Francisco Santos,2204204,0.438,0.608
Fronteiras,2204303,0.421,0.619
Geminiano,2204352,0.322,0.561
Gilbués,2204402,0.411,0.548
Guadalupe,2204501,0.495,0.65
Guaribas,2204550,0.214,0.508
Hugo Napoleão,2204600,0.405,0.599
Ilha Grande,2204659,0.405,0.563
Inhuma,2204709,0.449,0.624
Ipiranga do Piauí,2204808,0.47,0.63
Isaías Coelho,2204907,0.36,0.582
Itainópolis,2205003,0.397,0.541
Itaueira,2205102,0.444,0.583
Jacobina do Piauí,2205151,0.333,0.535
Jaicós,2205201,0.385,0.524
Jardim do Mulato,2205250,0.427,0.593
Jatobá do Piauí,2205276,0.361,0.566
Jerumenha,2205300,0.448,0.591
João Costa,2205359,0.311,0.561
Joaquim Pires,2205409,0.364,0.522
Joca Marques,2205458,0.307,0.504
José de Freitas,2205508,0.402,0.618
Juazeiro do Piauí,2205516,0.329,0.57
Júlio Borges,2205524,0.382,0.582
Jurema,2205532,0.348,0.555
Lagoinha do Piauí,2205540,0.457,0.597
Lagoa Alegre,2205557,0.373,0.55
Lagoa do Barro do Piauí,2205565,0.303,0.502
Lagoa de São Francisco,2205573,0.312,0.529
Lagoa do Piauí,2205581,0.383,0.583
Lagoa do Sítio,2205599,0.382,0.541
Landri Sales,2205607,0.451,0.584
Luís Correia,2205706,0.348,0.541
Luzilândia,2205805,0.38,0.545
Madeiro,2205854,0.362,0.563
Manoel Emídio,2205904,0.442,0.573
Marcolândia,2205953,0.396,0.562
Marcos Parente,2206001,0.466,0.59
Massapê do Piauí,2206050,0.31,0.525
Matias Olímpio,2206100,0.376,0.562
Miguel Alves,2206209,0.338,0.539
Miguel Leão,2206308,0.412,0.623
Milton Brandão,2206357,0.297,0.508
Monsenhor Gil,2206407,0.44,0.615
Monsenhor Hipólito,2206506,0.409,0.561
Monte Alegre do Piauí,2206605,0.387,0.578
Morro Cabeça no Tempo,2206654,0.317,0.542
Morro do Chapéu do Piauí,2206670,0.297,0.55
Murici dos Portelas,2206696,0.312,0.53
Nazaré do Piauí,2206704,0.38,0.576
Nazária,2206720,0.389,0.602
Nossa Senhora de Nazaré,2206753,0.373,0.586
Nossa Senhora dos Remédios,2206803,0.37,0.533
Novo Oriente do Piauí,2206902,0.39,0.562
Novo Santo Antônio,2206951,0.246,0.528
Oeiras,2207009,0.445,0.634
Olho d'Água do Piauí,2207108,0.398,0.576
Padre Marcos,2207207,0.352,0.541
Paes Landim,2207306,0.45,0.575
Pajeú do Piauí,2207355,0.383,0.559
Palmeira do Piauí,2207405,0.428,0.557
Palmeirais,2207504,0.37,0.562
Paquetá,2207553,0.284,0.509
Parnaguá,2207603,0.362,0.575
Parnaíba,2207702,0.546,0.687
Passagem Franca do Piauí,2207751,0.376,0.561
Patos do Piauí,2207777,0.364,0.563
Pau d'Arco do Piauí,2207793,0.282,0.514
Paulistana,2207801,0.396,0.6
Pavussu,2207850,0.333,0.526
Pedro II,2207900,0.385,0.571
Pedro Laurentino,2207934,0.325,0.562
Nova Santa Rita,2207959,0.321,0.554
Picos,2208007,0.545,0.698
Pimenteiras,2208106,0.376,0.566
Pio IX,2208205,0.367,0.564
Piracuruca,2208304,0.431,0.596
Piripiri,2208403,0.455,0.635
Porto,2208502,0.374,0.549
Porto Alegre do Piauí,2208551,0.374,0.563
Prata do Piauí,2208601,0.418,0.565
Queimada Nova,2208650,0.28,0.515
Redenção do Gurguéia,2208700,0.402,0.589
Regeneração,2208809,0.43,0.591
Riacho Frio,2208858,0.395,0.541
Ribeira do Piauí,2208874,0.285,0.52
Ribeiro Gonçalves,2208908,0.439,0.601
Rio Grande do Piauí,2209005,0.414,0.572
Santa Cruz do Piauí,2209104,0.445,0.601
Santa Cruz dos Milagres,2209153,0.392,0.577
Santa Filomena,2209203,0.393,0.544
Santa Luz,2209302,0.414,0.588
Santana do Piauí,2209351,0.351,0.574
Santa Rosa do Piauí,2209377,0.352,0.567
Santo Antônio de Lisboa,2209401,0.443,0.584
Santo Antônio dos Milagres,2209450,0.444,0.619
Santo Inácio do Piauí,2209500,0.427,0.613
São Braz do Piauí,2209559,0.35,0.596
São Félix do Piauí,2209609,0.481,0.61
São Francisco de Assis do Piauí,2209658,0.241,0.485
São Francisco do Piauí,2209708,0.348,0.57
São Gonçalo do Gurguéia,2209757,0.384,0.56
São Gonçalo do Piauí,2209807,0.502,0.616
São João da Canabrava,2209856,0.366,0.559
São João da Fronteira,2209872,0.359,0.515
São João da Serra,2209906,0.364,0.582
São João da Varjota,2209955,0.368,0.559
São João do Arraial,2209971,0.357,0.523
São João do Piauí,2210003,0.451,0.645
São José do Divino,2210052,0.363,0.565
São José do Peixe,2210102,0.408,0.573
São José do Piauí,2210201,0.357,0.552
São Julião,2210300,0.436,0.594
São Lourenço do Piauí,2210359,0.399,0.595
São Luis do Piauí,2210375,0.39,0.554
São Miguel da Baixa Grande,2210383,0.342,0.563
São Miguel do Fidalgo,2210391,0.348,0.535
São Miguel do Tapuio,2210409,0.342,0.556
São Pedro do Piauí,2210508,0.437,0.595
São Raimundo Nonato,2210607,0.497,0.661
Sebastião Barros,2210623,0.338,0.536
Sebastião Leal,2210631,0.369,0.562
Sigefredo Pacheco,2210656,0.356,0.581
Simões,2210706,0.371,0.575
Simplício Mendes,2210805,0.473,0.627
Socorro do Piauí,2210904,0.344,0.561
Sussuapara,2210938,0.39,0.586
Tamboril do Piauí,2210953,0.316,0.501
Tanque do Piauí,2210979,0.376,0.579
Teresina,2211001,0.62,0.751
União,2211100,0.397,0.577
Uruçuí,2211209,0.432,0.631
Valença do Piauí,2211308,0.496,0.647
Várzea Branca,2211357,0.318,0.553
Várzea Grande,2211407,0.421,0.571
Vera Mendes,2211506,0.358,0.503
Vila Nova do Piauí,2211605,0.357,0.565
Wall Ferraz,2211704,0.282,0.544
Abaiara,2300101,0.452,0.628
Acarape,2300150,0.49,0.606
Acaraú,2300200,0.415,0.601
Acopiara,2300309,0.412,0.595
Aiuaba,2300408,0.365,0.569
Alcântaras,2300507,0.422,0.6
Altaneira,2300606,0.417,0.602
Alto Santo,2300705,0.438,0.601
Amontada,2300754,0.423,0.606
Antonina do Norte,2300804,0.431,0.599
Apuiarés,2300903,0.431,0.618
Aquiraz,2301000,0.499,0.641
Aracati,2301109,0.523,0.655
Aracoiaba,2301208,0.451,0.615
Ararendá,2301257,0.437,0.59
Araripe,2301307,0.371,0.564
Aratuba,2301406,0.453,0.622
Arneiroz,2301505,0.419,0.618
Assaré,2301604,0.37,0.6
Aurora,2301703,0.435,0.605
Baixio,2301802,0.452,0.627
Banabuiú,2301851,0.456,0.606
Barbalha,2301901,0.517,0.683
Barreira,2301950,0.463,0.616
Barro,2302008,0.442,0.599
Barroquinha,2302057,0.356,0.571
Baturité,2302107,0.488,0.619
Beberibe,2302206,0.455,0.638
Bela Cruz,2302305,0.406,0.623
Boa Viagem,2302404,0.419,0.598
Brejo Santo,2302503,0.503,0.647
Camocim,2302602,0.462,0.62
Campos Sales,2302701,0.471,0.63
Canindé,2302800,0.448,0.612
Capistrano,2302909,0.457,0.611
Caridade,2303006,0.421,0.592
Cariré,2303105,0.416,0.596
Caririaçu,2303204,0.392,0.578
Cariús,2303303,0.438,0.597
Carnaubal,2303402,0.419,0.593
Cascavel,2303501,0.493,0.646
Catarina,2303600,0.412,0.618
Catunda,2303659,0.427,0.609
Caucaia,2303709,0.555,0.682
Cedro,2303808,0.473,0.627
Chaval,2303907,0.398,0.586
Choró,2303931,0.38,0.585
Chorozinho,2303956,0.437,0.604
Coreaú,2304004,0.406,0.61
Crateús,2304103,0.503,0.644
Crato,2304202,0.577,0.713
Croatá,2304236,0.372,0.59
Cruz,2304251,0.435,0.632
Deputado Irapuan Pinheiro,2304269,0.449,0.609
Ererê,2304277,0.433,0.61
Eusébio,2304285,0.507,0.701
Farias Brito,2304301,0.447,0.633
Forquilha,2304350,0.464,0.644
Fortaleza,2304400,0.652,0.754
Fortim,2304459,0.48,0.624
Frecheirinha,2304509,0.45,0.604
General Sampaio,2304608,0.392,0.568
Graça,2304657,0.381,0.57
Granja,2304707,0.371,0.559
Granjeiro,2304806,0.372,0.585
Groaíras,2304905,0.451,0.633
Guaiúba,2304954,0.454,0.617
Guaraciaba do Norte,2305001,0.43,0.609
Guaramiranga,2305100,0.5,0.637
Hidrolândia,2305209,0.424,0.597
Horizonte,2305233,0.493,0.658
Ibaretama,2305266,0.406,0.577
Ibiapina,2305308,0.451,0.608
Ibicuitinga,2305332,0.451,0.606
Icapuí,2305357,0.478,0.616
Icó,2305407,0.445,0.606
Iguatu,2305506,0.546,0.677
Independência,2305605,0.495,0.632
Ipaporanga,2305654,0.409,0.579
Ipaumirim,2305704,0.444,0.606
Ipu,2305803,0.473,0.618
Ipueiras,2305902,0.401,0.573
Iracema,2306009,0.499,0.652
Irauçuba,2306108,0.428,0.605
Itaiçaba,2306207,0.496,0.656
Itaitinga,2306256,0.475,0.626
Itapagé,2306306,0.459,0.623
Itapipoca,2306405,0.477,0.64
Itapiúna,2306504,0.479,0.604
Itarema,2306553,0.389,0.606
Itatira,2306603,0.362,0.562
Jaguaretama,2306702,0.445,0.612
Jaguaribara,2306801,0.468,0.618
Jaguaribe,2306900,0.518,0.621
Jaguaruana,2307007,0.498,0.624
Jardim,2307106,0.439,0.614
Jati,2307205,0.474,0.651
Jijoca de Jericoacoara,2307254,0.422,0.652
Juazeiro do Norte,2307304,0.544,0.694
Jucás,2307403,0.441,0.598
Lavras da Mangabeira,2307502,0.46,0.613
Limoeiro do Norte,2307601,0.561,0.682
Madalena,2307635,0.443,0.61
Maracanaú,2307650,0.575,0.686
Maranguape,2307700,0.524,0.659
Marco,2307809,0.446,0.612
Martinópole,2307908,0.407,0.599
Massapê,2308005,0.423,0.616
Mauriti,2308104,0.445,0.605
Meruoca,2308203,0.44,0.618
Milagres,2308302,0.45,0.628
Milhã,2308351,0.466,0.626
Miraíma,2308377,0.394,0.592
Missão Velha,2308401,0.444,0.622
Mombaça,2308500,0.399,0.582
Monsenhor Tabosa,2308609,0.437,0.61
Morada Nova,2308708,0.485,0.61
Moraújo,2308807,0.386,0.581
Morrinhos,2308906,0.415,0.588
Mucambo,2309003,0.458,0.607
Mulungu,2309102,0.48,0.607
Nova Olinda,2309201,0.451,0.625
Nova Russas,2309300,0.459,0.614
Novo Oriente,2309409,0.422,0.605
Ocara,2309458,0.434,0.594
Orós,2309508,0.465,0.636
Pacajus,2309607,0.508,0.659
Pacatuba,2309706,0.533,0.675
Pacoti,2309805,0.484,0.635
Pacujá,2309904,0.486,0.621
Palhano,2310001,0.492,0.638
Palmácia,2310100,0.497,0.622
Paracuru,2310209,0.457,0.637
Paraipaba,2310258,0.495,0.634
Parambu,2310308,0.387,0.57
Paramoti,2310407,0.405,0.583
Pedra Branca,2310506,0.42,0.603
Penaforte,2310605,0.53,0.646
Pentecoste,2310704,0.467,0.629
Pereiro,2310803,0.445,0.601
Pindoretama,2310852,0.493,0.636
Piquet Carneiro,2310902,0.427,0.6
Pires Ferreira,2310951,0.393,0.591
Poranga,2311009,0.401,0.581
Porteiras,2311108,0.477,0.622
Potengi,2311207,0.396,0.562
Potiretama,2311231,0.425,0.604
Quiterianópolis,2311264,0.405,0.594
Quixadá,2311306,0.524,0.659
Quixelô,2311355,0.367,0.591
Quixeramobim,2311405,0.482,0.642
Quixeré,2311504,0.475,0.622
Redenção,2311603,0.478,0.626
Reriutaba,2311702,0.454,0.601
Russas,2311801,0.527,0.674
Saboeiro,2311900,0.374,0.575
Salitre,2311959,0.326,0.54
Santana do Acaraú,2312007,0.431,0.587
Santana do Cariri,2312106,0.424,0.612
Santa Quitéria,2312205,0.431,0.616
São Benedito,2312304,0.433,0.611
São Gonçalo do Amarante,2312403,0.459,0.665
São João do Jaguaribe,2312502,0.523,0.654
São Luís do Curu,2312601,0.506,0.62
Senador Pompeu,2312700,0.487,0.619
Senador Sá,2312809,0.377,0.603
Sobral,2312908,0.537,0.714
Solonópole,2313005,0.454,0.625
Tabuleiro do Norte,2313104,0.522,0.645
Tamboril,2313203,0.385,0.58
Tarrafas,2313252,0.377,0.576
Tauá,2313302,0.477,0.633
Tejuçuoca,2313351,0.421,0.584
Tianguá,2313401,0.46,0.657
Trairi,2313500,0.42,0.606
Tururu,2313559,0.418,0.606
Ubajara,2313609,0.464,0.648
Umari,2313708,0.419,0.591
Umirim,2313757,0.395,0.587
Uruburetama,2313807,0.456,0.639
Uruoca,2313906,0.394,0.566
Varjota,2313955,0.459,0.611
Várzea Alegre,2314003,0.462,0.629
Viçosa do Ceará,2314102,0.369,0.571
Acari,2400109,0.557,0.679
Açu,2400208,0.536,0.661
Afonso Bezerra,2400307,0.456,0.585
Água Nova,2400406,0.411,0.616
Alexandria,2400505,0.467,0.606
Almino Afonso,2400604,0.493,0.624
Alto do Rodrigues,2400703,0.513,0.672
Angicos,2400802,0.528,0.624
Antônio Martins,2400901,0.435,0.578
Apodi,2401008,0.502,0.639
Areia Branca,2401107,0.55,0.682
Arês,2401206,0.463,0.606
Augusto Severo,2401305,0.452,0.621
Baía Formosa,2401404,0.46,0.609
Baraúna,2401453,0.414,0.574
Barcelona,2401503,0.413,0.566
Bento Fernandes,2401602,0.371,0.582
Bodó,2401651,0.417,0.629
Bom Jesus,2401701,0.425,0.584
Brejinho,2401800,0.434,0.592
Caiçara do Norte,2401859,0.424,0.574
Caiçara do Rio do Vento,2401909,0.428,0.587
Caicó,2402006,0.613,0.71
Campo Redondo,2402105,0.479,0.626
Canguaretama,2402204,0.418,0.579
Caraúbas,2402303,0.46,0.638
Carnaúba dos Dantas,2402402,0.59,0.659
Carnaubais,2402501,0.481,0.589
Ceará-Mirim,2402600,0.477,0.616
Cerro Corá,2402709,0.433,0.607
Coronel Ezequiel,2402808,0.416,0.587
Coronel João Pessoa,2402907,0.408,0.578
Cruzeta,2403004,0.56,0.654
Currais Novos,2403103,0.572,0.691
Doutor Severiano,2403202,0.433,0.621
Parnamirim,2403251,0.629,0.766
Encanto,2403301,0.453,0.629
Equador,2403400,0.494,0.623
Espírito Santo,2403509,0.402,0.558
Extremoz,2403608,0.528,0.66
Felipe Guerra,2403707,0.478,0.636
Fernando Pedroza,2403756,0.476,0.597
Florânia,2403806,0.492,0.642
Francisco Dantas,2403905,0.47,0.606
Frutuoso Gomes,2404002,0.461,0.597
Galinhos,2404101,0.417,0.564
Goianinha,2404200,0.476,0.638
Governador Dix-Sept Rosado,2404309,0.45,0.592
Grossos,2404408,0.495,0.664
Guamaré,2404507,0.444,0.626
Ielmo Marinho,2404606,0.381,0.55
Ipanguaçu,2404705,0.452,0.603
Ipueira,2404804,0.51,0.679
Itajá,2404853,0.454,0.624
Itaú,2404903,0.517,0.614
Jaçanã,2405009,0.458,0.604
Jandaíra,2405108,0.413,0.569
Janduís,2405207,0.471,0.615
Januário Cicco,2405306,0.424,0.574
Japi,2405405,0.395,0.569
Jardim de Angicos,2405504,0.422,0.565
Jardim de Piranhas,2405603,0.46,0.603
Jardim do Seridó,2405702,0.571,0.663
João Câmara,2405801,0.457,0.595
João Dias,2405900,0.358,0.53
José da Penha,2406007,0.445,0.608
Jucurutu,2406106,0.449,0.601
Jundiá,2406155,0.404,0.595
Lagoa d'Anta,2406205,0.416,0.601
Lagoa de Pedras,2406304,0.366,0.553
Lagoa de Velhos,2406403,0.472,0.589
Lagoa Nova,2406502,0.444,0.585
Lagoa Salgada,2406601,0.357,0.582
Lajes,2406700,0.486,0.624
Lajes Pintadas,2406809,0.499,0.625
Lucrécia,2406908,0.507,0.646
Luís Gomes,2407005,0.425,0.608
Macaíba,2407104,0.508,0.64
Macau,2407203,0.556,0.665
Major Sales,2407252,0.462,0.617
Marcelino Vieira,2407302,0.425,0.609
Martins,2407401,0.516,0.622
Maxaranguape,2407500,0.425,0.608
Messias Targino,2407609,0.472,0.644
Montanhas,2407708,0.408,0.557
Monte Alegre,2407807,0.465,0.609
Monte das Gameleiras,2407906,0.433,0.598
Mossoró,2408003,0.596,0.72
Natal,2408102,0.664,0.763
Nísia Floresta,2408201,0.484,0.622
Nova Cruz,2408300,0.465,0.629
Olho-d'Água do Borges,2408409,0.477,0.585
Ouro Branco,2408508,0.542,0.645
Paraná,2408607,0.427,0.589
Paraú,2408706,0.486,0.603
Parazinho,2408805,0.385,0.549
Parelhas,2408904,0.54,0.676
Rio do Fogo,2408953,0.398,0.569
Passa e Fica,2409100,0.445,0.606
Passagem,2409209,0.464,0.589
Patu,2409308,0.515,0.618
Santa Maria,2409332,0.408,0.59
Pau dos Ferros,2409407,0.584,0.678
Pedra Grande,2409506,0.419,0.559
Pedra Preta,2409605,0.388,0.558
Pedro Avelino,2409704,0.469,0.583
Pedro Velho,2409803,0.427,0.568
Pendências,2409902,0.493,0.631
Pilões,2410009,0.443,0.614
Poço Branco,2410108,0.426,0.587
Portalegre,2410207,0.452,0.621
Porto do Mangue,2410256,0.395,0.59
Presidente Juscelino,2410306,0.444,0.563
Pureza,2410405,0.431,0.567
Rafael Fernandes,2410504,0.489,0.608
Rafael Godeiro,2410603,0.501,0.654
Riacho da Cruz,2410702,0.443,0.584
Riacho de Santana,2410801,0.441,0.591
Riachuelo,2410900,0.459,0.592
Rodolfo Fernandes,2411007,0.496,0.604
Tibau,2411056,0.503,0.635
Ruy Barbosa,2411106,0.41,0.605
Santa Cruz,2411205,0.513,0.635
Santana do Matos,2411403,0.431,0.591
Santana do Seridó,2411429,0.526,0.642
Santo Antônio,2411502,0.483,0.62
São Bento do Norte,2411601,0.458,0.555
São Bento do Trairí,2411700,0.445,0.595
São Fernando,2411809,0.498,0.608
São Francisco do Oeste,2411908,0.484,0.628
São Gonçalo do Amarante,2412005,0.524,0.661
São João do Sabugi,2412104,0.533,0.655
São José de Mipibu,2412203,0.494,0.611
São José do Campestre,2412302,0.448,0.615
São José do Seridó,2412401,0.588,0.694
São Miguel,2412500,0.451,0.606
São Miguel do Gostoso,2412559,0.403,0.591
São Paulo do Potengi,2412609,0.475,0.622
São Pedro,2412708,0.392,0.589
São Rafael,2412807,0.469,0.611
São Tomé,2412906,0.432,0.585
São Vicente,2413003,0.492,0.642
Senador Elói de Souza,2413102,0.434,0.583
Senador Georgino Avelino,2413201,0.486,0.57
Serra de São Bento,2413300,0.417,0.582
Serra do Mel,2413359,0.463,0.614
Serra Negra do Norte,2413409,0.454,0.597
Serrinha,2413508,0.402,0.592
Serrinha dos Pintos,2413557,0.46,0.598
Severiano Melo,2413607,0.469,0.604
Sítio Novo,2413706,0.41,0.572
Taboleiro Grande,2413805,0.491,0.612
Taipu,2413904,0.396,0.569
Tangará,2414001,0.454,0.608
Tenente Ananias,2414100,0.405,0.592
Tenente Laurentino Cruz,2414159,0.462,0.623
Tibau do Sul,2414209,0.511,0.645
Timbaúba dos Batistas,2414308,0.546,0.64
Touros,2414407,0.404,0.572
Triunfo Potiguar,2414456,0.393,0.602
Umarizal,2414506,0.482,0.618
Upanema,2414605,0.416,0.596
Várzea,2414704,0.437,0.626
Venha-Ver,2414753,0.334,0.555
Vera Cruz,2414803,0.466,0.587
Viçosa,2414902,0.468,0.592
Vila Flor,2415008,0.418,0.576
Água Branca,2500106,0.415,0.572
Aguiar,2500205,0.392,0.597
Alagoa Grande,2500304,0.426,0.582
Alagoa Nova,2500403,0.389,0.576
Alagoinha,2500502,0.411,0.595
Alcantil,2500536,0.408,0.578
Algodão de Jandaíra,2500577,0.313,0.548
Alhandra,2500601,0.415,0.582
São João do Rio do Peixe,2500700,0.448,0.608
Amparo,2500734,0.392,0.606
Aparecida,2500775,0.425,0.578
Araçagi,2500809,0.389,0.549
Arara,2500908,0.387,0.548
Araruna,2501005,0.381,0.567
Areia,2501104,0.425,0.594
Areia de Baraúnas,2501153,0.385,0.562
Areial,2501203,0.448,0.608
Aroeiras,2501302,0.382,0.548
Assunção,2501351,0.406,0.609
Baía da Traição,2501401,0.413,0.581
Bananeiras,2501500,0.401,0.568
Baraúna,2501534,0.398,0.558
Barra de Santana,2501575,0.407,0.567
Barra de Santa Rosa,2501609,0.382,0.562
Barra de São Miguel,2501708,0.429,0.572
Bayeux,2501807,0.505,0.649
Belém,2501906,0.424,0.592
Belém do Brejo do Cruz,2502003,0.423,0.578
Bernardino Batista,2502052,0.391,0.558
Boa Ventura,2502102,0.386,0.599
Boa Vista,2502151,0.498,0.649
Bom Jesus,2502201,0.415,0.597
Bom Sucesso,2502300,0.46,0.592
Bonito de Santa Fé,2502409,0.413,0.574
